一（个）;a;NonConnait;0;0
离弃,遗弃;abandon;NonConnait;0;0
能力；力量;ability;NonConnait;0;0
能够...的；具有足够的能力或资源的;able;NonConnait;0;0
在船、火车、飞机上等;aboard;NonConnait;0;0
废除，废止（习俗，制度等）;abolish;NonConnait;0;0
大约，左右；差不多，几乎;about;NonConnait;0;0
在高处；在头之上;above;NonConnait;0;0
在国外，在海外;abroad;NonConnait;0;0
缺席；离开；不在某处;absence;NonConnait;0;0
缺席的，不在的;absent;NonConnait;0;0
完全的；绝对的，决定性的;absolutely;NonConnait;0;0
吸收（某事物）；吸进;absorb;NonConnait;0;0
精神集中的;absorbed;NonConnait;0;0
抽象的;abstract;NonConnait;0;0
不合理的；荒谬的；荒唐的;absurd;NonConnait;0;0
丰富的；充裕的；富于;abundant;NonConnait;0;0
滥用;abuse;NonConnait;0;0
学校的，学院的;academic;NonConnait;0;0
口音，重音;accent;NonConnait;0;0
接受;accept;NonConnait;0;0
接近；使用；进入的权力;access;NonConnait;0;0
意外事件；祸事；事故;accident;NonConnait;0;0
住处，办公处；住宿，膳宿;accommodation;NonConnait;0;0
伴随或跟随（某人）；陪伴;accompany;NonConnait;0;0
完成，达到，实现;accomplish;NonConnait;0;0
根据；取决于;according;NonConnait;0;0
账目；帐；账户;account;NonConnait;0;0
积累，聚积（某物）；聚集而成（某事物）;accumulate;NonConnait;0;0
精确，准确；精确性，准确性;accurate;NonConnait;0;0
正确的,精确的;accurate;NonConnait;0;0
指责某人有错；犯罪或犯法；指控；控告；指责;accuse;NonConnait;0;0
疼痛;ache;NonConnait;0;0
完成，实现;achieve;NonConnait;0;0
成就，成绩，功绩；达到，完成;achievement;NonConnait;0;0
（化学）酸;acid;NonConnait;0;0
承认;acknowledge;NonConnait;0;0
获得，取得，得到;acquire;NonConnait;0;0
英亩;acre;NonConnait;0;0
穿过，越过;across;NonConnait;0;0
行为；举动;act;NonConnait;0;0
行动，活动，行为;action;NonConnait;0;0
积极的，活跃的，有活动能力的;active;NonConnait;0;0
繁忙的或充满活力的活动;activity;NonConnait;0;0
男演员;actor;NonConnait;0;0
女演员;actress;NonConnait;0;0
事实上的，真实的，实际存在着的;actually;NonConnait;0;0
极大的；严重的;acute;NonConnait;0;0
公元;AD;NonConnait;0;0
使适应;adapt;NonConnait;0;0
改编本，改写本；适应;adaptation;NonConnait;0;0
把...加起来;add;NonConnait;0;0
沉溺于某种嗜好中的;addict;NonConnait;0;0
增加物;addition;NonConnait;0;0
地址；住址;address;NonConnait;0;0
足够的；充分的；令人满意的；适当的;adequate;NonConnait;0;0
调节，使适应;adjust;NonConnait;0;0
管理，行政;administration;NonConnait;0;0
